id,评价内容
1,衣服质量很好 穿着很舒服 下次还会回购
2,发货太慢了 等了一个星期才收到 差评
3,颜色和图片差很多 收到的是暗红色 我要的是正红 不满意
4,非常好 物美价廉 推荐购买
5,尺码偏小 建议买大一号 其他还行
6,面料太差了 洗了一次就起球 再也不买了
7,包装很精美 衣服质量也不错 满意
8,客服态度很差 问个问题半天不回 差评
9,第二次购买了 质量一如既往的好 支持
10,衣服有点线头 不过不影响穿 勉强好评吧
11,物超所值 这个价格买到这种质量 赚到了
12,一般般 没有想象中那么好 不值这个价
13,物流很快 衣服也很合身 点赞
14,收到的衣服有明显破损 要求退款
15,版型很好 显瘦 同事都问我在哪买的
16,卖家服务态度特别好 还送了小礼物 感动
17,色差严重 和图片完全不一样 退货
18,面料很舒服 贴身穿着不扎皮肤 适合夏天
19,不值这个价 质量还不如之前几十块买的
20,衣服收到有异味 洗了两遍还是有味道 差评
21,好评 版型好 穿着舒服 颜色也正
22,袖口设计有问题 太紧了 活动不方便
23,物流太慢了 等了一周才到 失望
24,衣服收到了 质量还行 对得起这个价
25,非常喜欢 已经推荐给闺蜜了 下次还来
26,领口缝线歪了 做工太粗糙 不满意
27,客服态度很好 耐心解答问题 给个赞
28,尺码很准 按照平时穿的号买的刚好
29,面料起静电 冬天穿不舒服 不太推荐
30,整体不错 就是扣子有点松 容易掉
31,超级喜欢这件衣服 穿上显瘦还显气质 五星好评
32,质量太差 穿了一次就开线了 差评
33,价格合理 衣服质量也可以 性价比很高
34,颜色很正 和图片一致 好评
35,包装简陋 衣服有褶皱 体验不好
